Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Clanton Park,Toronto,33,16472,8625,0.523615833,180,0.010927635,6885,0.41798203,5040,0.305973774,11375,0.690565809,770,10,60,20,80,0,90,10,10,65,220,210,2295,20,25,35,80,220,150,10,510,20,155,75,115,250,45,185,105,300,0,40,10,10,80,30,20,120,90,3995,20,15,205,55,160,135,25,15,100,15,25,2575,25,0,30,100,505,30,0.046745993,0.000607091,0.003642545,0.001214182,0.004856727,0,0.005463817,0.000607091,0.000607091,0.00394609,0.013355998,0.012748907,0.139327343,0.001214182,0.001517727,0.002124818,0.004856727,0.013355998,0.009106362,0.000607091,0.030961632,0.001214182,0.009409908,0.004553181,0.006981544,0.015177271,0.002731909,0.01123118,0.006374454,0.018212725,0,0.002428363,0.000607091,0.000607091,0.004856727,0.001821272,0.001214182,0.00728509,0.005463817,0.242532783,0.001214182,0.000910636,0.012445362,0.003339,0.009713453,0.008195726,0.001517727,0.000910636,0.006070908,0.000910636,0.001517727,0.156325886,0.001517727,0,0.001821272,0.006070908,0.030658086,0.001821272
Cliffcrest,Toronto,123,15935,10335,0.648572325,145,0.009099467,4905,0.30781299,5000,0.31377471,10805,0.678067148,880,20,15,15,215,10,150,20,10,180,115,150,1425,0,10,20,100,160,10,30,145,45,140,40,30,40,0,35,370,205,0,20,20,10,0,20,20,20,70,3330,75,1000,345,105,280,45,35,25,35,10,95,555,415,10,20,80,205,45,0.055224349,0.001255099,0.000941324,0.000941324,0.013492313,0.000627549,0.009413241,0.001255099,0.000627549,0.01129589,0.007216818,0.009413241,0.089425792,0,0.000627549,0.001255099,0.006275494,0.010040791,0.000627549,0.001882648,0.009099467,0.002823972,0.008785692,0.002510198,0.001882648,0.002510198,0,0.002196423,0.023219329,0.012864763,0,0.001255099,0.001255099,0.000627549,0,0.001255099,0.001255099,0.001255099,0.004392846,0.208973957,0.004706621,0.062754942,0.021650455,0.006589269,0.017571384,0.002823972,0.002196423,0.001568874,0.002196423,0.000627549,0.005961719,0.034828993,0.026043301,0.000627549,0.001255099,0.005020395,0.012864763,0.002823972
Corso Italia-Davenport,Toronto,92,14133,6555,0.463808109,165,0.011674804,6855,0.485035024,4340,0.307082714,9745,0.689520979,1395,180,80,85,45,0,105,95,70,45,135,545,3630,10,0,30,50,40,0,0,1195,0,35,1975,0,25,20,10,95,125,10,0,20,10,20,10,0,20,75,910,0,10,180,55,70,95,0,0,65,20,20,250,10,0,0,90,40,25,0.098705158,0.012736149,0.005660511,0.006014293,0.003184037,0,0.007429421,0.006721857,0.004952947,0.003184037,0.009552112,0.03856223,0.25684568,0.000707564,0,0.002122692,0.003537819,0.002830255,0,0,0.084553881,0,0.002476474,0.139743862,0,0.00176891,0.001415128,0.000707564,0.006721857,0.008844548,0.000707564,0,0.001415128,0.000707564,0.001415128,0.000707564,0,0.001415128,0.005306729,0.064388311,0,0.000707564,0.012736149,0.003891601,0.004952947,0.006721857,0,0,0.004599165,0.001415128,0.001415128,0.017689096,0.000707564,0,0,0.006368075,0.002830255,0.00176891
Danforth,Toronto,66,9666,6245,0.64607904,215,0.022242913,2845,0.294330643,2765,0.286054211,6830,0.706600455,370,10,20,0,25,0,30,20,20,55,115,75,1345,20,20,30,25,350,0,30,390,10,30,25,15,35,20,10,225,130,0,0,50,0,0,10,0,0,30,970,10,10,315,70,250,40,0,15,15,0,60,50,15,0,10,55,95,45,0.038278502,0.001034554,0.002069108,0,0.002586385,0,0.003103662,0.002069108,0.002069108,0.005690048,0.011897372,0.007759156,0.139147527,0.002069108,0.002069108,0.003103662,0.002586385,0.036209394,0,0.003103662,0.04034761,0.001034554,0.003103662,0.002586385,0.001551831,0.003620939,0.002069108,0.001034554,0.023277467,0.013449203,0,0,0.005172771,0,0,0.001034554,0,0,0.003103662,0.100351748,0.001034554,0.001034554,0.032588454,0.007241879,0.025863853,0.004138216,0,0.001551831,0.001551831,0,0.006207325,0.005172771,0.001551831,0,0.001034554,0.005690048,0.009828264,0.004655493
Danforth East York,Toronto,59,17180,10745,0.625436554,355,0.020663562,5455,0.317520373,4450,0.259022119,12620,0.734575087,715,40,45,20,90,10,85,50,0,60,150,160,2620,50,25,55,40,1035,40,60,315,25,55,80,50,35,75,25,355,330,0,10,25,20,0,10,0,10,40,2100,15,35,555,205,200,40,20,80,60,45,160,315,25,0,30,85,250,35,0.041618161,0.002328289,0.002619325,0.001164144,0.00523865,0.000582072,0.004947614,0.002910361,0,0.003492433,0.008731083,0.009313155,0.15250291,0.002910361,0.00145518,0.003201397,0.002328289,0.06024447,0.002328289,0.003492433,0.018335274,0.00145518,0.003201397,0.004656577,0.002910361,0.002037253,0.004365541,0.00145518,0.020663562,0.019208382,0,0.000582072,0.00145518,0.001164144,0,0.000582072,0,0.000582072,0.002328289,0.122235157,0.000873108,0.002037253,0.032305006,0.01193248,0.011641444,0.002328289,0.001164144,0.004656577,0.003492433,0.002619325,0.009313155,0.018335274,0.00145518,0,0.001746217,0.004947614,0.014551804,0.002037253
Don Valley Village,Toronto,47,27051,7965,0.294443828,235,0.008687294,17155,0.634172489,11180,0.413293409,15650,0.578536838,1495,65,205,25,150,15,320,50,50,95,220,300,2535,40,40,40,80,200,85,25,35,30,115,45,545,265,105,120,275,495,0,250,25,95,40,60,20,100,385,12845,360,165,3570,990,985,1930,200,60,510,190,310,1765,250,310,245,140,860,10,0.055265979,0.002402869,0.007578278,0.00092418,0.005545082,0.000554508,0.011829507,0.001848361,0.001848361,0.003511885,0.008132786,0.011090163,0.093711878,0.001478688,0.001478688,0.001478688,0.002957377,0.007393442,0.003142213,0.00092418,0.001293852,0.001109016,0.004251229,0.001663524,0.020147129,0.009796311,0.003881557,0.004436065,0.010165983,0.018298769,0,0.009241803,0.00092418,0.003511885,0.001478688,0.002218033,0.000739344,0.003696721,0.014232376,0.474843814,0.013308196,0.00609959,0.13197294,0.036597538,0.036412702,0.071346715,0.007393442,0.002218033,0.018853277,0.00702377,0.011459835,0.065247126,0.009241803,0.011459835,0.009056966,0.005175409,0.031791801,0.000369672
Dorset Park,Toronto,126,25003,9615,0.384553854,200,0.00799904,13120,0.524737032,11005,0.440147182,13385,0.53533576,2120,20,20,65,650,20,525,10,10,340,80,375,1255,30,20,0,55,355,20,0,110,10,45,15,75,30,20,10,180,285,25,125,95,0,15,30,25,35,230,10705,395,445,1275,390,1325,90,60,0,20,300,705,2690,2190,130,70,155,475,20,0.084789825,0.000799904,0.000799904,0.002599688,0.02599688,0.000799904,0.02099748,0.000399952,0.000399952,0.013598368,0.003199616,0.0149982,0.050193977,0.001199856,0.000799904,0,0.002199736,0.014198296,0.000799904,0,0.004399472,0.000399952,0.001799784,0.000599928,0.00299964,0.001199856,0.000799904,0.000399952,0.007199136,0.011398632,0.00099988,0.0049994,0.003799544,0,0.000599928,0.001199856,0.00099988,0.001399832,0.009198896,0.428148622,0.015798104,0.017797864,0.050993881,0.015598128,0.052993641,0.003599568,0.002399712,0,0.000799904,0.01199856,0.028196616,0.10758709,0.087589489,0.005199376,0.002799664,0.006199256,0.01899772,0.000799904
Dovercourt-Wallace Emerson-Junction,Toronto,93,36625,19345,0.528191126,510,0.013924915,15230,0.415836177,13385,0.365460751,22910,0.62552901,2550,330,115,85,195,0,250,170,70,255,360,705,6490,20,20,105,60,250,100,55,710,40,170,4060,40,75,30,90,445,225,25,10,165,30,15,40,50,85,300,4605,25,200,1215,140,380,130,10,70,220,20,240,425,210,15,30,780,485,65,0.069624573,0.009010239,0.003139932,0.002320819,0.005324232,0,0.006825939,0.004641638,0.001911263,0.006962457,0.009829352,0.019249147,0.177201365,0.000546075,0.000546075,0.002866894,0.001638225,0.006825939,0.002730375,0.001501706,0.019385666,0.00109215,0.004641638,0.110853242,0.00109215,0.002047782,0.000819113,0.002457338,0.012150171,0.006143345,0.000682594,0.000273038,0.004505119,0.000819113,0.000409556,0.00109215,0.001365188,0.002320819,0.008191126,0.125733788,0.000682594,0.005460751,0.033174061,0.003822526,0.010375427,0.003549488,0.000273038,0.001911263,0.006006826,0.000546075,0.006552901,0.011604096,0.005733788,0.000409556,0.000819113,0.021296928,0.013242321,0.001774744
Downsview-Roding-CFB,Toronto,26,35052,15010,0.428220929,215,0.006133744,18115,0.516803606,14275,0.407252083,20665,0.589552665,5640,65,320,465,395,50,1410,180,120,215,105,2305,5420,30,50,60,70,90,95,10,3470,20,155,740,125,60,0,45,185,255,20,20,85,15,20,215,110,10,485,7485,140,85,170,20,430,95,160,20,85,70,85,3565,105,20,0,1500,915,10,0.1609038,0.001854388,0.009129294,0.013266005,0.011268972,0.001426452,0.04022595,0.005135228,0.003423485,0.006133744,0.002995549,0.065759443,0.154627411,0.000855871,0.001426452,0.001711743,0.001997033,0.002567614,0.002710259,0.00028529,0.098995778,0.000570581,0.004422002,0.021111491,0.00356613,0.001711743,0,0.001283807,0.005277873,0.007274906,0.000570581,0.000570581,0.002424969,0.000427936,0.000570581,0.006133744,0.003138195,0.00028529,0.013836586,0.213539884,0.003994066,0.002424969,0.004849937,0.000570581,0.012267488,0.002710259,0.004564647,0.000570581,0.002424969,0.001997033,0.002424969,0.101706037,0.002995549,0.000570581,0,0.042793564,0.026104074,0.00028529
Dufferin Grove,Toronto,83,11785,6630,0.56257955,210,0.017819262,4550,0.386084005,4435,0.376325838,7280,0.617734408,865,110,45,0,45,0,60,65,20,60,135,310,2080,15,50,35,45,20,45,25,150,10,75,1235,25,35,15,35,170,105,25,0,20,10,10,0,0,10,85,1285,10,100,310,45,115,20,0,10,65,10,60,125,40,10,10,245,100,10,0.073398388,0.009333899,0.003818413,0,0.003818413,0,0.005091218,0.005515486,0.001697073,0.005091218,0.01145524,0.026304625,0.176495545,0.001272804,0.004242681,0.002969877,0.003818413,0.001697073,0.003818413,0.002121341,0.012728044,0.000848536,0.006364022,0.10479423,0.002121341,0.002969877,0.001272804,0.002969877,0.014425117,0.008909631,0.002121341,0,0.001697073,0.000848536,0.000848536,0,0,0.000848536,0.007212558,0.109036911,0.000848536,0.008485363,0.026304625,0.003818413,0.009758167,0.001697073,0,0.000848536,0.005515486,0.000848536,0.005091218,0.010606703,0.003394145,0.000848536,0.000848536,0.020789139,0.008485363,0.000848536
